01/01;Journée du domaine public
01/01;Journée Mondiale de la Paix
02/01;Journée mondiale de la Science-fiction
04/01;Journée mondiale du braille
06/01;Journée Mondiale des orphelins de guerre
07/01;La journée de la quenouille
08/01;Journée internationale du bain moussant
09/01;Journée mondiale de la Corse
10/01;Journée mondiale Tintin
10/01;Journée mondiale de la langue hindi
11/01;Journée mondiale "merci"
12/01;Kiss a Ginger day*
13/01;Journée mondiale sans pantalon
13/01;Journée nationale de l'hypersensibilité
14/01;Journée mondiale de la logique
16/01;Martin Luther King Day
16/01;Blue monday
17/01;Journée Internationale de la cuisine italienne
19/01;Journée internationale du Pop Corn
20/01;Les Nuits de la lecture
21/01;Journée internationale des câlins
22/01;Journée franco-allemande
23/01;Journée mondiale des solitudes
23/01;Journée mondiale de l'écriture manuscrite
24/01;Journée Internationale du sport féminin
24/01;Journée mondiale de la culture africaine et afro-descendante
24/01;Journée Internationale de l'éducation
26/01;Journée Mondiale de la Douane et sur l'éthique
27/01;Journée de la mémoire de l'Holocauste et de la prévention des crimes contre l'humanité
28/01;Journée mondiale de la protection des données
29/01;Journée Mondiale des lépreux
29/01;Journée mondiale du caviardage
02/02;Journée de la marmotte
02/02;Journée mondiale de la vie consacrée
02/02;Journée Mondiale des Zones Humides
03/02;Journée internationale sans paille
04/02;Journée internationale de la fraternité humaine
04/02;Journée Mondiale contre le cancer
04/02;La Journée Mondiale des intelligences animales
05/02;Journée mondiale du Nutella
06/02;Journée internationale contre les mutilations génitales féminines
07/02;Journées Mondiales sans téléphone mobile
08/02;Journée mondiale de prière et de réflexion sur la traite des êtres humains
08/02;Journée mondiale pour un internet plus sur
10/02;Journée internationale des légumineuses
11/02;Journée internationale des femmes et des filles de science
11/02;Journée mondiale des malades
11/02;Journée européenne du 112
12/02;Journée Internationale des enfants soldats
12/02;Journée internationale Darwin
13/02;Journée mondiale de la radio
14/02;Journée internationale de l'épilepsie
14/02;Journée internationale de sensibilisation aux cardiopathies congénitales
15/02;Journée internationale du Syndrome d'Angelman
15/02;Journée internationale du cancer de l’enfant
18/02;Journée mondiale d'action en faveur du droit de grève
19/02;Journée internationale de la baleine
19/02;Journée mondiale du pangolin
20/02;Journée mondiale de la justice sociale
21/02;Journée mondiale pour sauver les ours
21/02;Journée internationale des guides touristiques
21/02;Journée Internationale du patrimoine canadien
21/02;Journée Internationale de la langue maternelle
22/02;Journée Mondiale du Scoutisme
26/02;Journée Mondiale d'action contre l'ordonnance sur les brevets en Inde
27/02;journée mondiale de l'anosmie
27/02;Journée mondiale des ONG
27/02;Journée internationale de l'ours polaire
28/02;Journée mondiale sans Facebook
28/02;Journée internationale des maladies rares
01/03;Journée mondiale du compliment
01/03;Journée mondiale de la protection civile
03/03;Journée mondiale de la vie sauvage
04/03;Journée mondiale de lutte contre l'exploitation sexuelle
04/03;Journée mondiale de prière
04/03;Journée mondiale de l'obésité
04/03;Journée mondiale de l'ingénierie pour le développement durable
04/03;La journée jaune
05/03;Jour de l'impro
06/03;Journée Internationale de la radio et de la télévision en faveur des enfants
06/03;Journée européenne de l'orthophonie
06/03;Journée Mondiale du Lymphœdème
07/03;Semaine des mathématiques
08/03;Journée internationale des femmes
09/03;on en profite pour vous dire merci mesdames*
10/03;Journée Mondiale du rein
10/03;Journée nationale de l'audition
11/03;La journée mondiale du pyjama
11/03;Journée mondiale de la plomberie
11/03;Journée internationale des startups
12/03;Journée mondiale contre la censure sur internet
14/03;Semaine internationale de la courtoisie au volant
14/03;Journée internationale d'action pour les rivières
14/03;Semaine nationale de lutte contre le cancer
14/03;Journée mondiale du Pi et Journée internationale des mathématiques
15/03;Journée Internationale des droits des consommateurs
15/03;Journée mondiale du travail social
18/03;Journée nationale du sommeil
18/03;Journée mondiale du recyclage
19/03;Journée mondiale de la Schizophrénie
19/03;Journée international du canari
19/03;Cyber World Clean'Up day
20/03;Journée internationale du macaron
20/03;Journée mondiale du bonheur
20/03;Journée Mondiale de la santé bucco-dentaire
20/03;Journée internationale de lutte contre les violences policières
20/03;Journée mondiale du moineau
20/03;Journée Internationale de la francophonie
20/03;Journée Mondiale du Conte
20/03;Journée internationale sans viande
20/03;Semaine internationale pour les alternatives aux pesticides
20/03;Journée(s) internationale(s) du livre voyageur
21/03;Journée Internationale pour l'élimination de la discrimination raciale
21/03;Journée Internationale des forêts
21/03;Journée Mondiale de la Trisomie 21
21/03;Journée internationale de Nowruz
21/03;Journée mondiale du rangement de bureaux
21/03;Journée européenne de la musique ancienne
21/03;Journée mondiale de la marionnette
21/03;Journée Mondiale de la Poésie
22/03;Journée mondiale des doulas
22/03;Journée Mondiale de l'eau
23/03;Journée Mondiale de la Météorologie
24/03;Journée internationale pour le droit à la vérité
24/03;Journée Européenne de la glace artisanale
24/03;Journée mondiale pour la fin de la pêche
24/03;Journée Mondiale de lutte contre la tuberculose
25/03;Journée Européenne de l'enfant à naître
25/03;Grève mondiale pour le climat
25/03;Journée mondiale contre la publicité
25/03;Tolkien reading day
25/03;Journée de la procrastination
26/03;Journée mondiale contre l'endométriose
27/03;Journée nationale du fromage
27/03;Journée Mondiale du théâtre
28/03;Journée mondiale du Big Bang
29/03;Journée internationale des nuages
30/03;Journée Mondiale des troubles bipolaires
31/03;Journée mondiale de la sauvegarde des données informatiques
31/03;Journée Internationale de la Visibilité Trans
01/04;Journée internationale de la blague
02/04;Journée mondiale de batailles d'oreillers
02/04;Journée internaionale du livre pour enfants
02/04;Journée mondiale de sensibilisation à l'autisme
04/04;Journée internationale de la sensibilisation au problème des mines et de l'assistance à la lutte antimines
05/04;Journée internationale de la conscience
05/04;Journée Nationale du Syndrome du bébé secoué
05/04;Journée mondiale du travail invisible
06/04;Journée mondiale du sport pour le développement et la paix
07/04;Journée Mondiale de la santé
07/04;Journée Internationale de réflexion sur le génocide de 1994 au Rwanda
08/04;Journée nationale des ambulanciers
08/04;Journée internationale des Roms
09/04;Journée mondiale de la licorne
10/04;Journée internationale des frères et sœurs
11/04;Journée Mondiale de la maladie de Parkinson
12/04;Journée internationale du vol spatial habité
12/04;Journée des enfants des rues
13/04;Journée mondiale du scrabble
14/04;Journées internationales de la Gastronomie
14/04;Journée mondiale de la maladie de Chagas
15/04;Journée Mondiale du cirque
15/04;Journée Mondiale de l'Art
16/04;Journée mondiale de la voix
16/04;Journée Mondiale contre l'esclavage des enfants
17/04;Journées nationales des numismates
17/04;Journée Mondiale de l'hémophilie
17/04;Journée Mondiale des luttes paysannes
18/04;Journée mondiale des radio amateurs
18/04;Journée internationale des monuments et des sites
20/04;Journée internationale de la langue chinoise
21/04;Journée mondiale de la créativité et de l’innovation
21/04;Journée Mondiale des adjoint(e)s administratifs (-ves) et secrétaires
22/04;Journée Mondiale de la Terre
22/04;Semaine mondiale des Déficits Immunitaires Primitifs
23/04;Disquaire day
23/04;Journée Mondiale du livre et du droit d'auteur
24/04;Journée mondiale de la lutte contre les méningites
24/04;Journée Mondiale de la photographie au Sténopé
24/04;Journée nationale des véhicules d'époque
24/04;Fashion Revolution Day
24/04;Journée Mondiale des animaux dans les laboratoires
25/04;Journée Mondiale du paludisme
25/04;Journée Mondiale pour la sauvegarde du lien parental
25/04;Journée Mondiale des Manchots
26/04;Journée Mondiale de la propriété intellectuelle
27/04;La Journée internationale des chiens-guides
28/04;Journée Mondiale sur la sécurité et la santé au travail
29/04;Journée Internationale de la danse
30/04;Journée Internationale du Jazz
30/04;Journée Mondiale des Mobilités et de l'Accessibilité
30/04;Journée de la non-violence éducative
